Title,Link,Description
영암서 앞서가던 승용차 추돌한 60대 운전자 숨져,http://www.namdonews.com/news/articleView.html?idxno=710659,전남 영암에서 앞서가던 승용차를 추돌해 사고를 낸 60대 운전자가 숨졌다. 15일 영암경찰서에 따르면 지난 14일 오후 9시 6분께 영암군 신북면 국도 13호선(나주 방면) 편도 2차선 2차로에서 A(65)씨가 몰던 경차가... 
[인사] 전남도,http://www.econonews.co.kr/news/articleView.html?idxno=273619,양경옥 ▲자치경찰위원회 서회정 ▲동부지역본부 김종원 ▲동부지역본부 신구원 ▲동부지역본부 김옥남... 음영규 ▲전남사회서비스원 고이녀 ▲(재)남도장터 윤선주 ▲녹색성장위원회 김경탁 ▲문화재청 이성훈... 
설 맞아 전통시장 주변도로 461곳 주차 허용,https://n.news.naver.com/mnews/article/003/0011643313?sid=102,"주차 허용 구간은 연중 상시 주차가 가능한 138곳과 지방자치단체와 경찰청이 도로 여건을 고려하고 시장상인회의 의견을 수렴해 선정한 323곳이다. 17개 시·도별로는 서울이 85곳으로 가장 많다. 경기 71곳, 전남 61곳... "
"해수부, 전남 앞바다 괭생이모자반 발견…비상대응체제 가동",https://n.news.naver.com/mnews/article/119/0002675535?sid=101,"지난 8일 해양경찰청 항공 관측 결과 신안군, 진도군 인근 해상에 약 0.2t 규모 괭생이모자반을 확인했다.... 해수부는 해양 관측 위성, 어업지도선, 해경 함정·항공단 등을 활용해 동중국해와 서해 전역, 제주도와 전남 인근... "
중국발 괭생이모자반에 정부 비상대응체제 가동…수거ㆍ처리에 총력,https://www.etoday.co.kr/news/view/2212670,"이에 해수부는 ‘괭생이모자반 수거·처리 대응지침’에 따라 관련 지자체(경기, 인천, 충남, 전북, 전남, 제주)와 유관기관(해양환경공단, 어촌어항공단, 해양경찰청 등)이 참여하는 회의를 열고 해양정책실장을... "
"해수부, 중국발 추정 &apos;괭생이모자반&apos; 비상 대응체제 가동",https://n.news.naver.com/mnews/article/003/0011643211?sid=101,"괭생이모자반이 전남 신안군, 진도군 도서 인근 해상에서 발견됨에 따라 지난 9일부터 비상 대응체제를 본격 가동했다고 15일 밝혔다. 해양수산부는 지난 8일 해양경찰청의 항공 관측 결과 신안군, 진도군 인근 해상에 약 0.... "
"괭생이모자반 전남 인근 해상 발견…해수부, 비상대응체제 가동",https://n.news.naver.com/mnews/article/421/0006576979?sid=101,"이에 해수부는 &apos;괭생이모자반 수거·처리 대응지침&apos;에 따라 관련 지자체(경기, 인천, 충남, 전북, 전남, 제주)와 유관기관(해양환경공단, 어촌어항공단, 해양경찰청 등)이 참여하는 회의를 개최해 해양정책실장을... "
전남 영암에서 추돌사고...경차 60대 운전자 숨져,https://n.news.naver.com/mnews/article/660/0000026190?sid=102,영암경찰서는 지난 14일 밤 9시쯤 영암군 신북면 나주 방면 국도 13호선에서 65살 남성이 몰던 경차가... 입은 것으로 알려졌습니다. 경찰은 부상자와 차량 블랙박스 등을 분석해 정확한 사고 경위를 조사하고 있습니다.
영암서 앞서가던 승용차 추돌한 60대 운전자 숨져,https://n.news.naver.com/mnews/article/003/0011643060?sid=102,전남 영암에서 앞서가던 승용차를 추돌해 사고를 낸 60대 운전자가 숨졌다. 15일 영암경찰서에 따르면 전날 오후 9시 6분께 영암군 신북면 국도 13호선(나주 방면) 편도 2차선 2차로에서 A(65)씨가 몰던 경차가 앞서가던... 
엎어지는 것도 닮은 깔롱쟁이 내 딸,https://n.news.naver.com/mnews/article/036/0000047624?sid=102,목포에서 부산으로 끊임없이 재잘대던 문자 고향인 부산을 떠나 전남 목포에서 대학생활을 시작한... 계속 전화했더니 류영의 휴대전화를 용산경찰서 관계자가 받았다. 경찰은 류영이 어디 있는지 알 수 없다며 우선... 
[오종운의 입시 컨설팅] 졸업 취업률 의약 최고·교육 최저…임용난 여파,https://n.news.naver.com/mnews/article/421/0006576769?sid=110,"이들 대학을 포함해 취업률 60% 미만인 대학은 경북대(57.9%) 공주대(59.0%) 부산대(55.6%) 전남대(59.2... 6%, 기관·해양경찰학부 87.5% 등이다. 대전·경기에 소재한 을지대의 취업률(79.0%)은 전년도(77.3%)보다 1.7%p... "
버스전용차로서 역주행하다 &apos;쾅&apos;…1명 사망 · 14명 부상,https://n.news.naver.com/mnews/article/055/0001028286?sid=102,"경찰은 경차가 최소 300m를 역주행한 것으로 보고, CCTV와 블랙박스를 토대로 정확한 사고 경위를 조사하고 있습니다. --- 아파트 2층에 멈춰선 엘리베이터 위쪽에서 빨간 불길이 보입니다. 오늘 새벽 1시쯤 전남 목포시... "
"광양시의회, 새해 첫 임시회 개최···2023년도 시정 주요업무계획 청취",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160294966951726,"전남 광양시의회가 오는 19일까지 제315회 임시회를 열고 ‘2023년도 시정 주요업무계획 청취’와 조례안 및 동의안 13건을 심의한다. 세부 일정을 살펴보면, 16일 각 상임위원회는 광양시장이 제출한 광양시 자치경찰사무... "
[폴리스스토리] 끝나지 않은 &apos;염전의 비극&apos;…&quot;지구 끝까지 쫓아가 잡는다&quot;,https://n.news.naver.com/mnews/article/629/0000195615?sid=102,문영상 전남경찰청 형사과 강력계장은 착잡했다. 경찰로서 재범을 막지 못했다는 반성과 염전 산업의 구조적 문제가 그대로라는 문제의식에 아직도 머릿속이 복잡하다. 문 계장은 1998년 경찰대를 졸업하고 목포경찰서... 
"전남도, 1월 16일자 후속 인사 단행… 조직 역량 강화",http://www.newscj.com/article/20230114580220,"5급 160명, 6급 이하 358명 승진 인사 업무성과 등 반영 전남도청 전경. ⓒ천지일보DB [천지일보 전남=김미정... 이창용 ▲자치경찰위원회 최일범 ▲전국체전기획단 강성규 ▲토지관리과 조선아 ▲자치경찰위원회 김영빈... "
[리포트]해양경찰 인재개발원 충남에 올까?,https://tjmbc.co.kr/article/NBQ4RalMg7c_Wb_,"전남 여수에 있는 교육원은 신규 채용자의 교육을 맡고, 승진자 등 재직자 교육은 인재개발원에서... 해양경찰 교육의 필수적 요소인 바다를 바로 연접하고 있어 상시 해상을 이용한 교육이 가능합니다.&quot; 강원도 삼척시는... "
